City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
327,Akureyri,65.68,-18.09,48.2,87,90,4.7,IS,overcast clouds
328,Severodvinsk,64.56,39.83,46.4,93,20,6.71,RU,few clouds
329,Bathsheba,13.22,-59.52,82.4,74,40,18.34,BB,scattered clouds
330,Gurupi,-11.73,-49.07,71.87,30,99,4.16,BR,overcast clouds
331,Avera,33.19,-82.53,78.8,100,1,8.05,US,clear sky
332,Komsomolskiy,40.43,71.72,75.2,44,0,4.7,UZ,clear sky
333,Guerrero Negro,27.98,-114.06,76.15,73,0,9.44,MX,clear sky
334,De-Kastri,51.47,140.78,66.04,47,2,8.9,RU,clear sky
335,Port Shepstone,-30.74,30.45,62.64,74,96,2.71,ZA,overcast clouds
336,Strelka,58.07,93.03,66.83,57,1,4.76,RU,clear sky
337,Abashiri,44.02,144.27,62.6,82,75,11.41,JP,light intensity shower rain
338,Kenai,60.55,-151.26,62.6,59,1,8.05,US,clear sky
339,Januaria,-15.48,-44.37,67.53,59,32,5.73,BR,scattered clouds
340,Seoul,37.57,126.98,82.4,94,90,4.59,KR,mist
341,Naron,43.52,-8.15,60.8,82,20,10.29,ES,few clouds
342,Dabat,12.98,37.77,54.18,96,45,2.04,ET,scattered clouds
343,Zhigansk,66.77,123.37,62.8,46,94,10.22,RU,overcast clouds
344,Mizdah,31.45,12.98,66.34,79,0,4.68,LY,clear sky
345,Klaeng,12.78,101.65,93.99,54,38,5.93,TH,scattered clouds
346,Yar-Sale,66.83,70.83,48.07,86,100,18.41,RU,light rain
347,Pandan,14.05,124.17,82.47,75,100,7.7,PH,moderate rain
348,Filadelfia,39.95,-75.16,73.4,88,75,6.93,US,broken clouds
349,Asfi,32.3,-9.24,71.82,80,96,17.94,MA,overcast clouds
350,Amapa,1.0,-52.0,71.92,98,73,2.51,BR,broken clouds
351,Airai,-8.93,125.41,75.36,43,44,7.23,TL,scattered clouds
352,Outlook,51.5,-107.05,60.82,44,32,5.14,CA,scattered clouds
353,Atar,20.52,-13.05,87.71,37,47,14.41,MR,scattered clouds
354,Rapid Valley,44.06,-103.15,61.0,54,1,3.6,US,clear sky
355,Naryan-Mar,67.67,53.09,46.33,68,0,2.64,RU,clear sky
356,Safaga,26.73,33.94,82.4,39,0,4.7,EG,clear sky
357,San Vicente,-26.62,-54.13,67.14,70,51,3.96,AR,broken clouds
358,Constitucion,-35.33,-72.42,50.61,89,81,11.92,CL,light rain
359,Limbang,4.75,115.0,78.8,94,75,4.7,MY,thunderstorm with rain
360,Dunedin,-45.87,170.5,54.93,56,61,15.48,NZ,broken clouds
361,Kavaratti,10.57,72.64,80.6,83,75,5.82,IN,broken clouds
362,Chokurdakh,70.63,147.92,40.78,82,100,7.96,RU,overcast clouds
363,The Valley,18.22,-63.06,84.2,79,40,12.75,AI,haze
