City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
185,Waxahachie,32.39,-96.85,82.99,57,1,7.47,US,2020-08-25 03:43:39
186,Morro Bay,35.37,-120.85,70.0,90,9,2.42,US,2020-08-25 03:44:56
187,Imbituba,-28.24,-48.67,57.2,93,4,4.7,BR,2020-08-25 03:44:56
188,Shingu,33.73,135.98,87.8,74,20,10.29,JP,2020-08-25 03:44:56
189,Newport,51.59,-3.0,61.0,97,100,4.0,GB,2020-08-25 03:41:10
190,Lashio,22.93,97.75,71.17,99,100,1.66,MM,2020-08-25 03:44:57
191,Baker City,44.77,-117.83,64.99,68,1,4.7,US,2020-08-25 03:44:57
192,Birao,10.28,22.79,69.67,95,100,4.18,CF,2020-08-25 03:44:57
193,Chigorodo,7.67,-76.68,74.39,93,100,3.44,CO,2020-08-25 03:44:57
194,Malpura,26.28,75.38,79.03,85,98,12.75,IN,2020-08-25 03:44:57
195,Krasnopavlivka,49.14,36.33,64.49,50,0,4.03,UA,2020-08-25 03:44:57
196,Comodoro Rivadavia,-45.87,-67.5,39.2,86,90,9.17,AR,2020-08-25 03:44:57
197,Arlit,18.74,7.39,90.3,43,59,9.44,NE,2020-08-25 03:44:57
198,Ancud,-41.87,-73.82,42.01,93,75,6.93,CL,2020-08-25 03:44:57
199,Tucuma,-0.18,-50.05,75.85,92,36,7.61,BR,2020-08-25 03:44:57
200,Aklavik,68.22,-135.01,66.2,55,20,5.82,CA,2020-08-25 03:44:57
201,Vila Velha,-20.33,-40.29,64.4,82,75,16.11,BR,2020-08-25 03:44:57
202,Yarada,17.65,83.27,84.2,94,90,4.7,IN,2020-08-25 03:44:15
203,Saiha,22.48,92.97,82.22,69,95,3.53,IN,2020-08-25 03:44:57
204,Cabo San Lucas,22.89,-109.91,82.99,82,0,7.25,MX,2020-08-25 03:44:57
205,Georgetown,5.41,100.34,89.6,70,20,3.36,MY,2020-08-25 03:44:07
206,Tura,25.52,90.22,85.75,72,54,4.43,IN,2020-08-25 03:44:57
207,Cidreira,-30.18,-50.21,61.9,77,51,22.3,BR,2020-08-25 03:44:57
208,Komsomolskiy,40.43,71.72,80.6,30,4,2.24,UZ,2020-08-25 03:44:57
209,Saint Pete Beach,27.73,-82.74,82.0,1,29,1.99,US,2020-08-25 03:44:57
210,Jacareacanga,-6.22,-57.75,75.81,47,71,2.73,BR,2020-08-25 03:44:58
211,Rio Grande,-32.03,-52.1,57.99,92,86,1.99,BR,2020-08-25 03:43:54
212,Mar Del Plata,-38.0,-57.56,53.6,93,90,5.82,AR,2020-08-25 03:44:58
213,San Quintin,30.48,-115.95,72.75,85,8,12.68,MX,2020-08-25 03:44:58
214,Murray Bridge,-35.12,139.27,55.0,69,0,3.42,AU,2020-08-25 03:44:58
215,Bosobolo,4.18,19.9,70.11,97,100,2.68,CD,2020-08-25 03:44:58
216,Kyra,49.58,111.98,65.08,56,81,4.94,RU,2020-08-25 03:44:58
217,Kaitangata,-46.28,169.85,42.01,63,30,10.0,NZ,2020-08-25 03:44:58
218,East London,-33.02,27.91,60.8,93,20,6.93,ZA,2020-08-25 03:44:58
